Day,Meal Type,Food,Regional Type,Food Type,Trimester
Friday,Breakfast,Pineapple,North Indian,Veg,Trimester 1
Friday,Breakfast,Ananaas,North Indian,Veg,Trimester 1
Friday,Breakfast,Muskmelon,North Indian,Veg,Trimester 1
Friday,Breakfast,Kharbooja,North Indian,Veg,Trimester 1
Friday,Breakfast,Pear,North Indian,Veg,Trimester 1
Friday,Breakfast,Nashpati,North Indian,Veg,Trimester 1
Friday,Breakfast,Sapodilla,North Indian,Veg,Trimester 1
Friday,Breakfast,Chikoo,North Indian,Veg,Trimester 1
Friday,Lunch,Indian,North Indian,Veg,Trimester 1
Friday,Lunch,Gooseberry,North Indian,Veg,Trimester 1
Friday,Lunch,Amla Juice,North Indian,Veg,Trimester 1
Friday,Lunch,Steamed,North Indian,Veg,Trimester 1
Friday,Lunch,Sproutswith,North Indian,Veg,Trimester 1
Friday,Lunch,Tomato And,North Indian,Veg,Trimester 1
Friday,Lunch,Onion Tamatar,North Indian,Veg,Trimester 1
Friday,Lunch,Pyaaz,North Indian,Veg,Trimester 1
Friday,Lunch,Mango Aam,North Indian,Veg,Trimester 1
Friday,Lunch,Panna,North Indian,Veg,Trimester 1
Friday,Lunch,Puffed Rice,North Indian,Veg,Trimester 1
Friday,Lunch,Murmura With,North Indian,Veg,Trimester 1
Friday,Lunch,Peanuts,North Indian,Veg,Trimester 1
Friday,Lunch,Moongphali,North Indian,Veg,Trimester 1
Friday,Lunch,Lassi,North Indian,Veg,Trimester 1
Friday,Lunch,Sweet Potato,North Indian,Veg,Trimester 1
Friday,Lunch,Shakarkandi,North Indian,Veg,Trimester 1
Friday,Lunch,Chaat,North Indian,Veg,Trimester 1
Friday,Lunch,Buttermilk,North Indian,Veg,Trimester 1
Friday,Lunch,Chhaach,North Indian,Veg,Trimester 1
Friday,Lunch,Walnuts,North Indian,Veg,Trimester 1
Friday,Lunch,Akhrot And,North Indian,Veg,Trimester 1
Friday,Lunch,Raisins,North Indian,Veg,Trimester 1
Friday,Lunch,Kishmish,North Indian,Veg,Trimester 1
Friday,Snack1,Black Gram Urad Dal,North Indian,Veg,Trimester 1
Friday,Snack1,Lotus Stem Kamal,North Indian,Veg,Trimester 1
Friday,Snack1,Kakri Sabzi,North Indian,Veg,Trimester 1
Friday,Snack1,Chapati/Rice,North Indian,Veg,Trimester 1
Friday,Snack1,Horse Gram Kala,North Indian,Veg,Trimester 1
Friday,Snack1,Chana Dal,North Indian,Veg,Trimester 1
Friday,Snack1,Fenugreekand,North Indian,Veg,Trimester 1
Friday,Snack1,ColocasiaMethiarbi,North Indian,Veg,Trimester 1
Friday,Snack1,Sabzi,North Indian,Veg,Trimester 1
Friday,Snack1,Cumin Jeera Raita,North Indian,Veg,Trimester 1
Friday,Snack1,Spinachand Cottage,North Indian,Veg,Trimester 1
Friday,Snack1,Cheese Paalak Paneer,North Indian,Veg,Trimester 1
Friday,Snack1,Curry,North Indian,Veg,Trimester 1
Friday,Snack1,BeetrootChukandar,North Indian,Veg,Trimester 1
Friday,Snack1,Salad,North Indian,Veg,Trimester 1
Friday,Snack1,Pearl Millet Bajra Roti,North Indian,Veg,Trimester 1
Friday,Snack1,BlacklentilUrad Dal,North Indian,Veg,Trimester 1
Friday,Snack1,Capsicum Onion Shimla,North Indian,Veg,Trimester 1
Friday,Snack1,Mirchpyaaz Sabzi,North Indian,Veg,Trimester 1
Friday,Snack1,Mixed Flour Missi Roti,North Indian,Veg,Trimester 1
Monday,Breakfast,Custard,North Indian,Veg,Trimester 1
Monday,Breakfast,Apple,North Indian,Veg,Trimester 1
Monday,Breakfast,Sitaphal,North Indian,Veg,Trimester 1
Monday,Breakfast,Roasted,North Indian,Veg,Trimester 1
Monday,Breakfast,Peanuts,North Indian,Veg,Trimester 1
Monday,Breakfast,Moongphali,North Indian,Veg,Trimester 1
Monday,Breakfast,Mixed Fruit,North Indian,Veg,Trimester 1
Monday,Breakfast,And Nut,North Indian,Veg,Trimester 1
Monday,Breakfast,Salad,North Indian,Veg,Trimester 1
Monday,Breakfast,Guava,North Indian,Veg,Trimester 1
Monday,Breakfast,Amrud,North Indian,Veg,Trimester 1
Monday,Lunch,Lassi,North Indian,Veg,Trimester 1
Monday,Lunch,Apple Seb,North Indian,Veg,Trimester 1
Monday,Lunch,And Walnut,North Indian,Veg,Trimester 1
Monday,Lunch,Akhrot Chaat,North Indian,Veg,Trimester 1
Monday,Lunch,Pomegranate,North Indian,Veg,Trimester 1
Monday,Lunch,Anaar Juice,North Indian,Veg,Trimester 1
Monday,Lunch,Corn Makka,North Indian,Veg,Trimester 1
Monday,Lunch,Chaat,North Indian,Veg,Trimester 1
Monday,Lunch,Glass Of Milk,North Indian,Veg,Trimester 1
Monday,Lunch,Wheatrusk,North Indian,Veg,Trimester 1
Monday,Lunch,Coconut Water,North Indian,Veg,Trimester 1
Monday,Lunch,Nariyalpani,North Indian,Veg,Trimester 1
Monday,Lunch,Roasted,North Indian,Veg,Trimester 1
Monday,Lunch,Chickpea,North Indian,Veg,Trimester 1
Monday,Lunch,Chana,North Indian,Veg,Trimester 1
Monday,Snack1,BottlegourdLauki Kofta,North Indian,Veg,Trimester 1
Monday,Snack1,Curry,North Indian,Veg,Trimester 1
Monday,Snack1,Okra Bhindi Sabzi,North Indian,Veg,Trimester 1
Monday,Snack1,Pearl Millet Bajra Roti,North Indian,Veg,Trimester 1
Monday,Snack1,Khichdiwith Vegetables,North Indian,Veg,Trimester 1
Monday,Snack1,Mint Pudina Raita,North Indian,Veg,Trimester 1
Monday,Snack1,Roasted Papad,North Indian,Veg,Trimester 1
Monday,Snack1,Pigeon Pea,North Indian,Veg,Trimester 1
Monday,Snack1,Arhar/Toor Dal,North Indian,Veg,Trimester 1
Monday,Snack1,Beanswith Grated,North Indian,Veg,Trimester 1
Monday,Snack1,Coconut Beensnariyal,North Indian,Veg,Trimester 1
Monday,Snack1,Mango Pulp Aamras,North Indian,Veg,Trimester 1
Monday,Snack1,Rice,North Indian,Veg,Trimester 1
Monday,Snack1,RedlentilsMasoor Dal,North Indian,Veg,Trimester 1
Monday,Snack1,Potatoand Runner,North Indian,Veg,Trimester 1
Monday,Snack1,BeansAloo Sem,North Indian,Veg,Trimester 1
Monday,Snack1,Coriander Mint Dhaniya,North Indian,Veg,Trimester 1
Monday,Snack1,Pudina Chutney,North Indian,Veg,Trimester 1
Monday,Snack1,Finger Millet Ragi Roti,North Indian,Veg,Trimester 1
Saturday,Breakfast,Mixed Fruit,North Indian,Veg,Trimester 1
Saturday,Breakfast,Salad,North Indian,Veg,Trimester 1
Saturday,Breakfast,BananaKela,North Indian,Veg,Trimester 1
