Day,Meal Type,Food,Regional Type,Food Type,Trimester
Monday,Breakfast,Sapodilla,North Indian,Veg,Trimester 1
Monday,Breakfast,(chikoo),North Indian,Veg,Trimester 1
Monday,Snack1,Soyaand potato (aloo),North Indian,Veg,Trimester 1
Monday,Snack1,curry,North Indian,Veg,Trimester 1
Monday,Snack1,Okra (bhindi) sabzi,North Indian,Veg,Trimester 1
Monday,Snack1,Curd (dahi),North Indian,Veg,Trimester 1
Monday,Snack1,Chapati/rice,North Indian,Veg,Trimester 1
Monday,Lunch,Lemonade,North Indian,Veg,Trimester 1
Monday,Lunch,(nimbupani),North Indian,Veg,Trimester 1
Monday,Lunch,Mixed nutsand,North Indian,Veg,Trimester 1
Monday,Lunch,raisins,North Indian,Veg,Trimester 1
Monday,Lunch,(kishmish),North Indian,Veg,Trimester 1
Tuesday,Breakfast,Banana,North Indian,Veg,Trimester 1
Tuesday,Breakfast,(kela),North Indian,Veg,Trimester 1
Tuesday,Snack1,Spinachand corn,North Indian,Veg,Trimester 1
Tuesday,Snack1,(paalak makka) curry,North Indian,Veg,Trimester 1
Tuesday,Snack1,Potatoand cauliflower,North Indian,Veg,Trimester 1
Tuesday,Snack1,(aloo gobhi) sabzi,North Indian,Veg,Trimester 1
Tuesday,Snack1,Chapati/rice,North Indian,Veg,Trimester 1
Tuesday,Lunch,Jal jeera,North Indian,Veg,Trimester 1
Tuesday,Lunch,Revri,North Indian,Veg,Trimester 1
Wednesday,Breakfast,Papaya,North Indian,Veg,Trimester 1
Wednesday,Breakfast,(papita),North Indian,Veg,Trimester 1
Wednesday,Snack1,Mixed(milijhuli) dal,North Indian,Veg,Trimester 1
Wednesday,Snack1,Carrot and peas(gajar,North Indian,Veg,Trimester 1
Wednesday,Snack1,matar) sabzi,North Indian,Veg,Trimester 1
Wednesday,Snack1,Curd (dahi),North Indian,Veg,Trimester 1
Wednesday,Snack1,Pearl millet (bajra) roti,North Indian,Veg,Trimester 1
Wednesday,Lunch,Mango (aam),North Indian,Veg,Trimester 1
Wednesday,Lunch,panna,North Indian,Veg,Trimester 1
Wednesday,Lunch,Roasted,North Indian,Veg,Trimester 1
Wednesday,Lunch,peanuts,North Indian,Veg,Trimester 1
Wednesday,Lunch,(moongphali),North Indian,Veg,Trimester 1
Thursday,Breakfast,Apple (seb),North Indian,Veg,Trimester 1
Thursday,Snack1,Black gram(urad) dal,North Indian,Veg,Trimester 1
Thursday,Snack1,Brinjal(baingan) bharta,North Indian,Veg,Trimester 1
Thursday,Snack1,Curd (dahi),North Indian,Veg,Trimester 1
Thursday,Snack1,Chapati/rice,North Indian,Veg,Trimester 1
Thursday,Lunch,Coconut water,North Indian,Veg,Trimester 1
Thursday,Lunch,(nariyalpani),North Indian,Veg,Trimester 1
Thursday,Lunch,Roasted,North Indian,Veg,Trimester 1
Thursday,Lunch,chickpeas,North Indian,Veg,Trimester 1
Thursday,Lunch,(chana),North Indian,Veg,Trimester 1
Friday,Breakfast,Watermelon,North Indian,Veg,Trimester 1
Friday,Breakfast,(tarbooj),North Indian,Veg,Trimester 1
Friday,Snack1,Red lentil (masoor) dal,North Indian,Veg,Trimester 1
Friday,Snack1,Fenugreekand potato,North Indian,Veg,Trimester 1
Friday,Snack1,(methialoo) sabzi,North Indian,Veg,Trimester 1
Friday,Snack1,Beetroot(chukandar),North Indian,Veg,Trimester 1
Friday,Snack1,salad,North Indian,Veg,Trimester 1
Friday,Snack1,Chapati/rice,North Indian,Veg,Trimester 1
Friday,Lunch,Indian,North Indian,Veg,Trimester 1
Friday,Lunch,gooseberry,North Indian,Veg,Trimester 1
Friday,Lunch,(amla) juice,North Indian,Veg,Trimester 1
Friday,Lunch,Steamed green,North Indian,Veg,Trimester 1
Friday,Lunch,gram(hari,North Indian,Veg,Trimester 1
Friday,Lunch,moong) sprouts,North Indian,Veg,Trimester 1
Saturday,Breakfast,Grapes,North Indian,Veg,Trimester 1
Saturday,Breakfast,(angoor),North Indian,Veg,Trimester 1
Saturday,Snack1,Mustard greens (sarson,North Indian,Veg,Trimester 1
Saturday,Snack1,ka saag),North Indian,Veg,Trimester 1
Saturday,Snack1,Jaggery (gur) and curd,North Indian,Veg,Trimester 1
Saturday,Snack1,(dahi),North Indian,Veg,Trimester 1
Saturday,Snack1,Mixed flour (missi) roti,North Indian,Veg,Trimester 1
Saturday,Lunch,Lassi,North Indian,Veg,Trimester 1
Saturday,Lunch,Roasted corn,North Indian,Veg,Trimester 1
Saturday,Lunch,(bhutta),North Indian,Veg,Trimester 1
Saturday,Dinner,| First trimester: Plan 1,North Indian,Veg,Trimester 1
Saturday,Dinner,e highlighted in light orange,North Indian,Veg,Trimester 1
Saturday,Dinner,red blood cells for your,North Indian,Veg,Trimester 1
Saturday,Dinner,d in brownfoods that are,North Indian,Veg,Trimester 1
Saturday,Dinner,your baby. We have,North Indian,Veg,Trimester 1
Saturday,Dinner,ng.,North Indian,Veg,Trimester 1
Saturday,Dinner,Dinner,North Indian,Veg,Trimester 1
Saturday,Dinner,Mungbean (moong),North Indian,Veg,Trimester 1
Saturday,Dinner,dal,North Indian,Veg,Trimester 1
Saturday,Dinner,Colocasiaand,North Indian,Veg,Trimester 1
Saturday,Dinner,fenugreek(arbi,North Indian,Veg,Trimester 1
Saturday,Dinner,methi) sabzi,North Indian,Veg,Trimester 1
Saturday,Dinner,Chapati/rice,North Indian,Veg,Trimester 1
Saturday,Dinner,Peasand mint (matar,North Indian,Veg,Trimester 1
Saturday,Dinner,pudina) soup,North Indian,Veg,Trimester 1
Saturday,Dinner,Pasta with tomato,North Indian,Veg,Trimester 1
Saturday,Dinner,(tamatar) sauce,North Indian,Veg,Trimester 1
Saturday,Dinner,Kadhi,North Indian,Veg,Trimester 1
Saturday,Dinner,Cuminandpotato,North Indian,Veg,Trimester 1
Saturday,Dinner,(jeeraaloo) sabzi,North Indian,Veg,Trimester 1
Saturday,Dinner,Spinachand cottage,North Indian,Veg,Trimester 1
Saturday,Dinner,cheese (paalak,North Indian,Veg,Trimester 1
Saturday,Dinner,paneer),North Indian,Veg,Trimester 1
Saturday,Dinner,Crispy lotus stem,North Indian,Veg,Trimester 1
Saturday,Dinner,(kamal kakri),North Indian,Veg,Trimester 1
Saturday,Dinner,Sorghum(jowar) flour,North Indian,Veg,Trimester 1
Saturday,Dinner,roti,North Indian,Veg,Trimester 1
Saturday,Dinner,Kidney beans (rajma),North Indian,Veg,Trimester 1
Saturday,Dinner,Bitter gourd (karela),North Indian,Veg,Trimester 1
Saturday,Dinner,sabzi,North Indian,Veg,Trimester 1
Saturday,Dinner,Curd (dahi),North Indian,Veg,Trimester 1
Saturday,Dinner,Horse gram(kala,North Indian,Veg,Trimester 1
Saturday,Dinner,chana) curry,North Indian,Veg,Trimester 1
Saturday,Dinner,Capsicumand,North Indian,Veg,Trimester 1
Saturday,Dinner,cauliflower (shimla,North Indian,Veg,Trimester 1
Saturday,Dinner,mirchgobhi) sabzi,North Indian,Veg,Trimester 1
Saturday,Dinner,Finger millet (ragi),North Indian,Veg,Trimester 1
Saturday,Dinner,Peasand potato,North Indian,Veg,Trimester 1
Saturday,Dinner,(matar aloo) curry,North Indian,Veg,Trimester 1
Saturday,Dinner,Pumpkin (kaddu) sabzi,North Indian,Veg,Trimester 1
Saturday,Dinner,Poori,North Indian,Veg,Trimester 1
Saturday,Dinner,www.babycenter.in,North Indian,Veg,Trimester 1
Monday,Breakfast,Strawberries,North Indian,Veg,Trimester 1
Monday,Snack1,Cottage cheese and,North Indian,Veg,Trimester 1
Monday,Snack1,peas (matar paneer),North Indian,Veg,Trimester 1
Monday,Snack1,cury,North Indian,Veg,Trimester 1
Monday,Snack1,Beansand potato,North Indian,Veg,Trimester 1
Monday,Snack1,(beensaloo) sabzi,North Indian,Veg,Trimester 1
Monday,Lunch,Wood apple,North Indian,Veg,Trimester 1
Monday,Lunch,(bael) sharbat,North Indian,Veg,Trimester 1
Monday,Lunch,Almonds and,North Indian,Veg,Trimester 1
Monday,Lunch,(badaam,North Indian,Veg,Trimester 1
Monday,Lunch,kishmish),North Indian,Veg,Trimester 1
Tuesday,Breakfast,Apple (seb),North Indian,Veg,Trimester 1
Tuesday,Snack1,Besan(gatta) curry,North Indian,Veg,Trimester 1
Tuesday,Snack1,Beetroot,North Indian,Veg,Trimester 1
Tuesday,Snack1,(chukandar) sabzi,North Indian,Veg,Trimester 1
Tuesday,Snack1,Sorghum(jowar) roti,North Indian,Veg,Trimester 1
Tuesday,Lunch,Lemonade,North Indian,Veg,Trimester 1
Tuesday,Lunch,(nimbupani),North Indian,Veg,Trimester 1
Tuesday,Lunch,Sweet potato,North Indian,Veg,Trimester 1
Tuesday,Lunch,(shakarkandi),North Indian,Veg,Trimester 1
Tuesday,Lunch,chaat,North Indian,Veg,Trimester 1
Wednesday,Breakfast,Pear,North Indian,Veg,Trimester 1
Wednesday,Breakfast,(nashpati),North Indian,Veg,Trimester 1
Wednesday,Snack1,Crushed chickpea,North Indian,Veg,Trimester 1
Wednesday,Snack1,(chhole) chaat,North Indian,Veg,Trimester 1
Wednesday,Snack1,Tamarind and date,North Indian,Veg,Trimester 1
Wednesday,Snack1,(imlikhajoor) chutney,North Indian,Veg,Trimester 1
Wednesday,Snack1,Kulcha/Pav,North Indian,Veg,Trimester 1
Wednesday,Lunch,Glass of milk,North Indian,Veg,Trimester 1
Wednesday,Lunch,Colocasia,North Indian,Veg,Trimester 1
Wednesday,Lunch,(arbi) cutlets,North Indian,Veg,Trimester 1
Wednesday,Lunch,Mint(pudina),North Indian,Veg,Trimester 1
Wednesday,Lunch,chutney,North Indian,Veg,Trimester 1
Thursday,Breakfast,Sapodilla,North Indian,Veg,Trimester 1
Thursday,Breakfast,(chikoo),North Indian,Veg,Trimester 1
Thursday,Snack1,Red lentil (masoor),North Indian,Veg,Trimester 1
Thursday,Snack1,dal,North Indian,Veg,Trimester 1
Thursday,Snack1,Round gourd (tinda),North Indian,Veg,Trimester 1
Thursday,Snack1,sabzi,North Indian,Veg,Trimester 1
Thursday,Snack1,Mint(pudina),North Indian,Veg,Trimester 1
Thursday,Snack1,parantha,North Indian,Veg,Trimester 1
Thursday,Lunch,Khandavi,North Indian,Veg,Trimester 1
Friday,Breakfast,Banana,North Indian,Veg,Trimester 1
Friday,Breakfast,(kela),North Indian,Veg,Trimester 1
Friday,Snack1,Kidney beans,North Indian,Veg,Trimester 1
Friday,Snack1,(rajma) curry,North Indian,Veg,Trimester 1
Friday,Snack1,Pumpkin (kaddu),North Indian,Veg,Trimester 1
Friday,Snack1,sabzi,North Indian,Veg,Trimester 1
Friday,Snack1,Cucumberand carrot,North Indian,Veg,Trimester 1
Friday,Snack1,(kheeragajar) salad,North Indian,Veg,Trimester 1
Friday,Lunch,Lemonade,North Indian,Veg,Trimester 1
Friday,Lunch,(nimbupani),North Indian,Veg,Trimester 1
Friday,Lunch,Corn (makka),North Indian,Veg,Trimester 1
Friday,Lunch,chaat,North Indian,Veg,Trimester 1
Saturday,Breakfast,Watermelon,North Indian,Veg,Trimester 1
Saturday,Breakfast,(tarbooj),North Indian,Veg,Trimester 1
Saturday,Snack1,Pigeon peas,North Indian,Veg,Trimester 1
Saturday,Snack1,(arhar/toor) dal,North Indian,Veg,Trimester 1
Saturday,Snack1,Green banana(hara,North Indian,Veg,Trimester 1
Saturday,Snack1,kela) sabzi,North Indian,Veg,Trimester 1
Saturday,Snack1,Cumin (jeera) rice,North Indian,Veg,Trimester 1
Saturday,Lunch,Jal jeera,North Indian,Veg,Trimester 1
Saturday,Lunch,Roasted,North Indian,Veg,Trimester 1
Saturday,Lunch,chickpeas,North Indian,Veg,Trimester 1
Saturday,Lunch,(chana),North Indian,Veg,Trimester 1
Monday,Breakfast,Muskmelon,North Indian,Veg,Trimester 1
Monday,Breakfast,(kharbooja),North Indian,Veg,Trimester 1
Monday,Snack1,Besan(gatta) curry,North Indian,Veg,Trimester 1
Monday,Snack1,Spinachand potato,North Indian,Veg,Trimester 1
Monday,Snack1,(paalak aloo) sabzi,North Indian,Veg,Trimester 1
Monday,Lunch,Almond,North Indian,Veg,Trimester 1
Monday,Lunch,(badaam) milk,North Indian,Veg,Trimester 1
