Day,Meal Type,Food,Regional Type,Food Type,Trimester
Monday,Breakfast,Rava Idli,South Indian,Veg,Trimester 1
Monday,Snack,Roasted Makhana,South Indian,Veg,Trimester 1
Monday,Snack,Fruit Bowl (apple + banana),South Indian,Veg,Trimester 1
Sunday,Snack,Boiled Sweet Corn,South Indian,Veg,Trimester 1
Sunday,Snack,Paneer Cubes (light sautéed),South Indian,Veg,Trimester 1
Sunday,Snack,Poha (small portion),South Indian,Veg,Trimester 1
Monday,Lunch,Steamed Rice + Vegetable Sambar,South Indian,Veg,Trimester 1
Monday,Lunch,Carrot Beans Poriyal,South Indian,Veg,Trimester 1
Monday,Lunch,Curd (small bowl),South Indian,Veg,Trimester 1
Sunday,Breakfast,Vada,South Indian,Veg,Trimester 1
Sunday,Snack,Vegetable Upma (Small Portion),South Indian,Veg,Trimester 1
Tuesday,Snack,Roasted Makhana,South Indian,Veg,Trimester 1
Tuesday,Snack,Onion Pakoda,South Indian,Veg,Trimester 1
Tuesday,Lunch,Vegetable Rice (mild),South Indian,Veg,Trimester 1
Tuesday,Lunch,Vegetable Sambar,South Indian,Veg,Trimester 1
Tuesday,Lunch,Beans Poriyal,South Indian,Veg,Trimester 1
Wednesday,Breakfast,Vegetable Upma,South Indian,Veg,Trimester 1
Wednesday,Snack,Moong Dal Chaat (steamed),South Indian,Veg,Trimester 1
Wednesday,Snack,Roasted Chana,South Indian,Veg,Trimester 1
Wednesday,Snack,Curd (small bowl),South Indian,Veg,Trimester 1
Wednesday,Dinner,Soft Idli with Coconut Chutney,South Indian,Veg,Trimester 1
Wednesday,Lunch,Steamed Rice + Vegetable Sambar,South Indian,Veg,Trimester 1
Wednesday,Lunch,Carrot Beans Poriyal,South Indian,Veg,Trimester 1
Wednesday,Lunch,Curd (small bowl),South Indian,Veg,Trimester 1
Thursday,Breakfast,Rava Dosa (plain),South Indian,Veg,Trimester 1
Thursday,Snack,Paneer Cubes (light sautéed),South Indian,Veg,Trimester 1
Thursday,Snack,Boiled Sweet Corn,South Indian,Veg,Trimester 1
Thursday,Snack,Fruit Bowl,South Indian,Veg,Trimester 1
Thursday,Snack,Vegetable Poha (small portion),South Indian,Veg,Trimester 1
Thursday,Lunch,Steamed Rice + Vegetable Sambar,South Indian,Veg,Trimester 1
Thursday,Lunch,Carrot Beans Poriyal,South Indian,Veg,Trimester 1
Sunday,Lunch,Veg Biryani,South Indian,Veg,Trimester 1
Sunday,Lunch,Coconut Rice,South Indian,Veg,Trimester 1
Sunday,Lunch,Ladyfinger fry,South Indian,Veg,Trimester 1
