Category,Item,Benefits,Preparation/Precautions,Trimester Suitability
Fruits,Pomegranates,"Rich in iron, prevents anaemia",Wash thoroughly before eating,All
Fruits,Apples,"Provides fibre, aids digestion",Consume fresh and washed,All
Fruits,Bananas,"High in potassium, good for energy","Wash properly, avoid overripe",All
Vegetables,Pumpkin,"Easily digestible, provides vitamins",Prefer steamed or cooked,All
Vegetables,Bottle Gourd,"Cooling effect, hydrating",Cook thoroughly to kill bacteria,All
Vegetables,Carrots,Rich in Vitamin A for fetal development,"Wash before cooking, avoid raw",All
Soups/Broths,Vegetable Soup,"Boosts immunity, hydrating","Prepare hot, add ginger/garlic",All
Soups/Broths,Lentil Soup,"Protein-rich, easily digestible","Cook hot, avoid stale ingredients",All
Soups/Broths,Clear Vegetable Broth,"Soothes stomach, provides electrolytes","Consume fresh, hot, hygienically prepared",All
Avoid,Raw/Undercooked Seafood/Meat,Risk of Listeria/parasites,Cook thoroughly to safe temperature,None
Avoid,"Street Food (Pakoras, Chaat)",Causes gastrointestinal infections,Avoid completely during monsoon,None
Avoid,Cut Fruits/Salads from Vendors,"High contamination risk, unhygienic",Cut and eat fresh at home only,None
