Season,Category,Food / Drink,Nutrient / Benefit,Effect on Pregnancy,Precaution / Limitation,Additional Notes
Summer,Fruits to Include,Watermelon & Melons,"High water content, electrolytes","Keeps hydration, prevents overheating",Limit if gestational diabetes due to sugar content,Can also be consumed as watermelon water
Summer,Fruits to Include,Apples,"Fibre, Iron","Prevents anaemia, supports digestion",Wash properly to remove pesticide residues,Eating an apple daily is highly recommended
Summer,Fruits to Include,Mangoes,"Vitamin A, Vitamin C","Supports immunity, skin health, fetal growth",Sugar-rich: limit in gestational diabetes,Eat in moderation (seasonal fruit)
Summer,Fruits to Include,Bananas,"Potassium, Fibre","Prevents leg cramps, improves digestion",High sugar: limit if diabetic,Great for quick energy
Summer,Fruits to Include,Guavas,"Vitamin C, Fibre","Boosts immunity, prevents constipation",Eat ripe to avoid acidity,Can be eaten raw after washing well
Summer,Fruits to Include,"Peaches, Plums, Kiwi, Lemons",Vitamin C,"Helps iron absorption, strengthens immunity",Citrus may aggravate acidity in some cases,Lemon water aids hydration
Summer,Fruits to Include,Avocado,"Healthy fats, Fibre, Folate","Supports brain development, eases constipation",Avoid excessive intake (high calories),Great in salads or spreads
Summer,Fruits to Include,Berries,"Antioxidants, Fibre","Reduces constipation, boosts skin health",Wash carefully to avoid contamination,"Strawberries, blueberries, raspberries"
Summer,Fruits to Include,Cherries,"Vitamin C, Calcium, Iron","Improves sleep, reduces swelling, supports fetal brain",Seasonal: eat fresh only,Tart cherries especially beneficial
Summer,Vegetables,Cucumbers,High water content,"Cooling, prevents dehydration",Avoid unwashed raw slices outside,Cucumber water is refreshing
Summer,Vegetables,Tomatoes,"Lycopene, Vitamin C","Prevents sunburn, antioxidant",Avoid too much raw (acidity issues),Gazpacho soup is cooling
Summer,Vegetables,Zucchini,"Folate, Potassium, Vit A & C","Supports fetal growth, hydration",Consume cooked or lightly grilled,Very versatile summer veggie
Summer,Protein,Eggs (Boiled),"Protein, Iron, B12","Supports fetal growth, lean protein",Avoid raw or undercooked eggs,Boiled eggs are light & nutritious
Summer,Protein,Greek Yogurt,"Protein, Calcium, Probiotics","Supports digestion, strengthens bones",Choose pasteurized yogurt,Can be made into overnight oats
Summer,Hydration,Water,Essential hydration,"Prevents fatigue, low BP","Drink safe, filtered water",At least 8–10 glasses/day
Summer,Hydration,Coconut Water,"Electrolytes, Potassium","Prevents dehydration, relieves acidity",Avoid packaged/artificial versions,Fresh tender coconut water is best
Summer,Hydration,Lassi / Buttermilk,"Probiotics, Calcium","Cooling, improves gut health",Avoid sweetened or packaged versions,Homemade is best
Summer,Hydration,Lemonade (Nimbu Pani),"Vitamin C, Hydration","Boosts immunity, refreshes",Limit sugar,Add mint for extra cooling
Summer,Foods to Avoid,"Papaya, Pineapple","Enzymes (papain, bromelain)",Risk of miscarriage (esp. unripe papaya),Best to avoid entirely during pregnancy,Traditional caution
Summer,Foods to Avoid,"Raw Seafood, Meat",Protein but risky,"Risk of listeria, parasites",Cook thoroughly,Avoid sushi/raw meats
Summer,Foods to Avoid,Alcohol & Smoking,—,"Direct harm to fetus, developmental risks",Completely avoid,—
Summer,Foods to Avoid,Sugary Drinks / Sodas,"High sugar, empty calories","Increases risk of gestational diabetes, dehydration",Completely avoid,"Includes thandai, smoothies with added sugar"
Summer,Foods to Avoid,Processed Foods,"Preservatives, unhealthy fats","No nutrition, weight gain",Avoid packaged snacks,—
Summer,Foods in Moderation,"Banana, Mango, Grapes, Melons",High sugar,"Raises blood sugar, risk for gestational diabetes",Limit to 2–3 portions/day,Moderation is key
Summer,Tips,Eat Light & Frequent,—,Improves digestion,Avoid overeating,Small balanced meals
Summer,Tips,Adequate Protein,"Eggs, Milk, Pulses",Fetal growth & development,Avoid unpasteurized milk,Include daily
Summer,Tips,Limit Caffeine,"Tea, Coffee","Dehydration, harmful to fetus",Max 2 coffee / 3 tea cups per day,Switch to herbal teas
Summer,Tips,Avoid Overheating Foods,Excess fried/spicy,"May cause indigestion, acidity",Eat moderately,Prefer boiled/steamed
